а	and,but,oh well,while
аазаз	azaz
аален	aalen
аангич	coween,oldsquaw
аарон	aaron
ааронов	aaronov
аахен	aachen
абадан	abadan
абажур	lampshade,shade
абаз	abazin
абазин	abazin
абазинка	female abazin
абазия	abasia
абаимов	abaimov
абайкан	abaykan
абайя	abaya
абак	abacus
абака	abaca,abacus,abaqa
абактериальный	abacterial
абалон	abalone
абандон	abandon,abandonment
абарогноз	abarognosis
абарогнозия	abarognosis
абасири	abashiri
абатмент	abutment
абацист	abacist
абаша	abasha
абашидзе	abashidze
аббат	abbot,priest
аббатиса	abbess,prelatess
аббатисса	abbess,prelatess
аббатский	abbatial,abbatical
аббатство	abbacy,abbey,abbotship
аббация	abbazia
аббревиатура	abbreviation
аббревиатурный	abbreviation
аббревиировать	abbreviate
абвер	abwehr
абгаз	exhaust gas,waste gas
абдикационный	of abdication
абдикация	abdication
абдомен	abdomen
абдоминалгия	abdominalgia
абдоминальный	abdominal
абдоминомедиастинальный	abdominomediastinal
абдоминоперикардиостомия	abdominopericardiostomy
абдоминопластика	abdominoplasty
абдон	abdon
абдразаков	abdrazakov
абдуктант	abductor
абдуктор	abductor
абдулла	abdullah
абелев	abelian
абелит	abelite
абель	abel
абердинец	aberdonian
аберрантный	aberrant
аберрация	aberration
аберрировать	aberrate
аберрометр	aberrometer
аберроскоп	abberoscope
абессив	abessive
абеталипопротеинемия	abetalipoproteinemia
абецедарий	abecedarium,abecedary
абзац	indentation,indention,paragraph
абзим	abzyme
абиджан	abidjan
абиетин	abietene,abietin
абико	abiko
абилитация	habilitation
абинск	abinsk
абиогенный	abiogenetic,abiogenetical
абиотический	abiotic
абиссаль	abyss,abyssal zone
абиссальный	abyssal,deep-see,deep-water
абиссинец	abyssinian
абиссиния	abyssinia
абиссинка	abyssinian
абиссинский	abyssinian
абитиби	abitibi
абитуриент	school-leaver,university entrant
абитуриентка	school-leaver,university entrant
аблактировать	ablactate,inarch
аблаут	ablaut,apophony
аблация	ablation
аблегат	ablegate
аблефария	ablepharia,ablepharon,ablephary
абляут	ablaut
абляционный	ablation,ablative
абляция	ablation
або	abo
абоимов	aboimov
аболиционизм	abolitionism
аболиционист	abolitionist
аболиционистка	abolitionist
абонемент	commutation ticket,season ticket,season-ticket,subscription
абонементный	subscription
абонент	sub,subscriber
абонентка	subscriber
абонентский	subscription
абонирование	subscribing
абонированный	subscribed to
абонировать	subscribe
абонироваться	be subscribed,subscribe
абонировка	subscribing
аборальный	aboral
абордаж	boarding
абордировать	to board
абориген	aborigine,local,native
аборигенный	indigenous,local,locative,native,native-born
аборт	abortion,miscarriage
абортарий	abortion clinic
абортивный	abortive
абортированный	aborted
абортировать	abort
абортус	abortus
абразив	abrasive
абразивность	abrasiveness,abrasivity
абразивный	abrasive
абразивостойкость	abrasion resistance
абразия	abrasion
абракадабра	abracadabra
абрам	abraham,abram
абраменко	abramenko
абрамс	abrams
абрамский	abramsky
абрамцев	abramtsev
абрахия	abrachia
абреакция	abreaction
абрек	abrek
абриколь	bricole
абрикос	apricot,apricot tree,ball
абрикосный	apricot,apricot-coloured
абрикосов	abrikosov
абрикосовый	apricot
абрикотин	apricot brandy,apricot schnapps,apricotine
абрис	contour,outline,sketch
аброгация	abrogation
абруптив	ejective
абруццо	abruzzo
абсейлинг	abseiling
абсент	absinth,absinthe
абсентеизм	absenteeism
абсентеист	absentee
абсентизм	absinthism
абсида	apse,apsis,exedra
абсолют	the absolute
абсолютизация	absolutization
абсолютизировать	absolutise,make absolute
абсолютизм	absolutism
абсолютист	absolutist
абсолютистка	absolutist
абсолютистский	absolutist
абсолютно	absolutely,perfectly,utterly
абсолютность	absoluteness
абсолютный	absolute,perfect,utter
абсорбат	absorbate
абсорбент	absorbent
абсорбер	absorber
абсорбирование	absorption
абсорбировать	absorb
абсорбироваться	be absorbed
абсорбируемый	absorbable
абсорбтивный	absorptive
абсорбционный	absorption,absorptive
абсорбция	absorption
абстинент	abstinent
абстинентный	abstinent,withdrawal
абстрагирование	abstracting,abstraction
абстрагировать	abstract
абстракт	abstract
абстрактно	abstractedly,notionally
абстрактность	abstractedness,abstractiveness,abstruseness
абстрактный	abstract,abstracted,discrete
абстракционизм	abstract art,abstractionism
абстракционист	abstract artist,abstractionist
абстракционистка	abstract artist
абстракционистский	abstractionist
абстракция	abstraction
абсурд	absurd,absurdity,nonsense
абсурдизм	absurdism
абсурдист	absurdist
абсурдистка	absurdist
абсурдно	absurdly
абсурдность	absurdity,absursness,ineptitude,ineptness
абсурдный	absurd,inept,preposterious
абсцесс	abscess
абсцизин	abscisin
абсцисса	absciss,abscissa
абугида	abugida
абулия	aboulia,abulia
абутилон	abutilon
абхаз	abkhaz,abkhazian
абхазец	abkhaz,abkhazian
абхазия	abkhazia
абхазка	abkhazian
абхазский	abkhazian
абцуг	deal
абшайдер	refiner,separator
абшид	cartouch
абшит	cartouch
абы	provided that
ава	avatar,profile pic,user pic
аваль	aval
авангард	avant-garde,vanguard
авангардизм	avant-gardism
авангардист	avant-gardist,avantgardist,vanguardist
авангардистка	avant-gardist
авангардистский	avant-garde
авангардность	avant-garde
авангардный	vanguard
аванесов	avanesov
аванзал	anteroom,hall
аванзала	anteroom,hall
аванкамера	forebay,forechamber,outport
аванпорт	outport
аванпост	outpost,picket
аванпостный	of outpost
аванс	advance,prepayment
авансировать	to advance
авансовый	advance
авансом	in advance
авансцена	fore-scene,proscenium
авантаж	advantage
авантажный	advantageous,fine,fine-looking
авантитул	foretitle,half-title
авантюризм	adventurism
авантюрин	aventurine
авантюриновый	aventurine
авантюрист	adventurer
авантюристический	adventurist
авантюристка	adventuress
авантюристский	adventurist
авантюрный	adventurous,risky,venturesome
авар	avar
аварийка	hazard lights
аварийный	breakdown,crash,emergency,repair,wrecking
авария	accident,average,crash,wreck
аварка	avar
аварский	avarian,avarskiy
аваруа	avarua
аватар	avatar
авгий	augeas
авгур	augur,soothsayer
авгурский	augural,augurial
август	august,augustus,avgust
августа	augusta
августейший	august,augustest,most august
августина	augustina,augustine
августинец	augustinian,austin friar
августинизм	augustinianism,augustinism
августинский	augustinian
августинство	augustinianism,augustinism
августовский	august
авдашков	avdashkov
авдей	avdei
авдий	abdias
авдиометр	audiometer
авдон	abdon,avdon
авдотка	norfolk plover,stone-curlew,thick-knee
авдулов	avdulov
авдушев	avdushev
авентура	aventura
авеню	avenue
аверин	averin
аверкин	averkin
аверьян	averyan
авиабаза	airbase
авиабилет	airline ticket,airplane ticket
авиабомба	aerial bomb,airbomb
авиавыставка	air show
авиадвигатель	aero-engine
авиадиспетчер	controller
авиазвено	air flight,air wing
авиакатастрофа	air disaster,plane crash
авиакомпания	airline
авиаконструктор	aircraft designer
авиалайнер	air liner
авиалиния	airline,airway
авиаль	avial
авиамагистраль	air route
авиамет	aerometeorological station
авиамоделизм	aircraft modeling
авиамотор	air engine
авианосец	aircraft carrier
авиапатруль	aerial patrol
авиаподдержка	airsupport
авиапредприятие	airline
авиасъёмка	aerial photography
авиатор	airman,aviator,pilot
авиатранспорт	air transport
авиафар	abiathar
авиационный	aircraft,aviatic,aviation
авиация	aviation
авиваж	brightening
авидность	avidity
авизо	advice,aviso,note
авизовать	to advise
авилин	avilin
авионика	avionics
авитаминоз	avitaminosis
авиценнит	avicennite
авлакоген	aulacogen
авокадо	alligator pear,avocado
авост	abend,emergency stop
авось	chance,luck,maybe,perhaps
аврал	all hands
авральный	all-hands,all-out,emergency
аврикула	auricula
австралазия	australasia
австралиец	australian
